우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574646|안동네길|Andongne-gil|0|30|0|3611035021101970002000001|||3611035021||도계리|장군면|0|197|01|2||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|33|0|3611035021100630003000001|||3611035021||도계리||0|63|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|13|5|3611035021102820011000001|||3611035021||도계리||0|282|01|11||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|13|9|3611035021102820013000001|||3611035021||도계리||0|282|01|13||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|20|0|3611035021102820030000001|||3611035021||도계리||0|282|01|30||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574614|무넘이길|Muneomi-gil|0|14|42|3611035021102760014000001|||3611035021||도계리||0|276|01|14||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361103251037|장척로|Jangcheok-ro|0|425|0|3611035021101600001000001|||3611035021||도계리|장군면|0|160|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|17|0|3611035021102820016000001|||3611035021||도계리|장군면|0|282|01|16||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574614|무넘이길|Muneomi-gil|0|14|17|3611035021102760018000001|||3611035021||도계리||0|276|01|18||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|11|0|3611035021102820009000001|||3611035021||도계리||0|282|01|9||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104854086|파인빌리지길|Pine village-gil|0|13|7|3611035021102820012000001|||3611035021||도계리||0|282|01|12||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574688|풍덕골길|Pungdeokgol-gil|0|38|3|3611035021102370000000001|||3611035021||도계리||0|237|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574614|무넘이길|Muneomi-gil|0|6|0|4415035021101490003017978|||3611035021||도계리||0|149|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|30|7|4415035021100430003018224|||3611035021||도계리||0|43|01|3||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|32|4|4415035021100440005018281|||3611035021||도계리||0|44|01|5||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|76|18|4415035021100240001018343|||3611035021||도계리||0|24|01|1||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|72|0|4415035021100110000018374|||3611035021||도계리||0|11|01|0||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|11|0|4415035021100840008016343|||3611035021||도계리||0|84|01|8||
30053|세종특별자치시|Sejong-si|||장군면|Janggun-myeon|361104574664|장기초교길|Janggichogyo-gil|0|7|0|4415035021100840008016339|||3611035021||도계리||0|84|01|8||
